Order-Date,Delivery-Date,Promised-Date,Courier,Size of the box height,Size of the box width,Size of the box length,Size of the box weight,Weather,Store address,Customer address
1/24/2021,1/27/2021,1/26/2021,PS,29.632656,34.722553,17.523058,3.807421277,Good,-2.503346666,-2.457784444
4/9/2021,4/13/2021,4/13/2021,FD,29.632656,34.722553,17.523058,1.902088497,Good,-2.503346666,-2.4578009
9/27/2021,10/2/2021,10/2/2021,PS,29.632656,34.722553,17.523058,2.152102507,Good,-2.503346666,-2.457799228
11/29/2020,12/4/2020,12/3/2020,PS,29.632656,34.722553,17.523058,3.802455309,Good,-2.503346666,-2.457775671
9/6/2021,9/12/2021,9/11/2021,FD,29.632656,34.722553,17.523058,5.510080988,Good,-2.503346666,-2.457826544
8/17/2021,8/22/2021,8/21/2021,PS,29.632656,34.722553,17.523058,1.697702693,Good,-2.503346666,-2.457752413
8/24/2021,8/28/2021,8/27/2021,FD,29.632656,34.722553,17.523058,2.516804628,Good,-2.503346666,-2.457870281
3/20/2021,3/24/2021,3/23/2021,FD,29.632656,34.722553,17.523058,2.498070497,Good,-2.503346666,-2.45777069
10/20/2020,10/23/2020,10/23/2020,PS,29.632656,34.722553,17.523058,4.780509594,Good,-2.503346666,-2.45776298
3/23/2021,3/31/2021,3/31/2021,FD,29.632656,34.722553,17.523058,5.98002414,Good,-2.503346666,-2.457756607
7/11/2021,7/16/2021,7/15/2021,PS,29.632656,34.722553,17.523058,1.183634643,Good,-2.503346666,-2.457854509
9/21/2021,9/24/2021,9/23/2021,PS,29.632656,34.722553,17.523058,2.411621538,Good,-2.503346666,-2.457897337
5/14/2021,5/19/2021,5/18/2021,PS,29.632656,34.722553,17.523058,4.024577134,Good,-2.503346666,-2.457855577
11/27/2021,12/1/2021,12/1/2021,FD,29.632656,34.722553,17.523058,0.783681568,Good,-2.503346666,-2.457836611
8/20/2021,8/26/2021,8/26/2021,FD,29.632656,34.722553,17.523058,1.007834148,Good,-2.503346666,-2.45783669
11/7/2020,11/10/2020,11/10/2020,PS,29.632656,34.722553,17.523058,0.424192884,Good,-2.503346666,-2.457859608
11/5/2020,11/9/2020,11/8/2020,PS,29.632656,34.722553,17.523058,2.504945637,Good,-2.503346666,-2.457886729
10/29/2021,11/3/2021,11/3/2021,FD,29.632656,34.722553,17.523058,3.345188582,Good,-2.503346666,-2.457867677
12/9/2020,12/14/2020,12/14/2020,FD,29.632656,34.722553,17.523058,2.074457893,Bad,-2.503346666,-2.457858392
10/15/2021,10/19/2021,10/19/2021,PS,29.632656,34.722553,17.523058,1.347523415,Good,-2.503346666,-2.457814906
1/2/2021,1/6/2021,1/5/2021,PS,29.632656,34.722553,17.523058,0.795382283,Good,-2.503346666,-2.457864828
1/11/2021,1/14/2021,1/14/2021,PS,29.632656,34.722553,17.523058,2.029873601,Good,-2.503346666,-2.457780049
10/20/2020,10/24/2020,10/24/2020,PS,29.632656,34.722553,17.523058,2.389828989,Good,-2.503346666,-2.457786441
10/29/2021,11/1/2021,11/1/2021,PS,29.632656,34.722553,17.523058,1.628788563,Good,-2.503346666,-2.457803255
1/11/2021,1/14/2021,1/14/2021,PS,29.632656,34.722553,17.523058,0.366226868,Good,-2.503346666,-2.457737467
11/11/2020,11/15/2020,11/14/2020,PS,29.632656,34.722553,17.523058,0.739051029,Good,-2.503346666,-2.457812635
11/7/2021,11/13/2021,11/13/2021,FD,29.632656,34.722553,17.523058,3.551098957,Good,-2.503346666,-2.457786078
11/25/2021,11/29/2021,11/28/2021,PS,29.632656,34.722553,17.523058,3.95591945,Good,-2.503346666,-2.457722746
11/14/2021,11/19/2021,11/19/2021,FD,29.632656,34.722553,17.523058,2.387624833,Good,-2.503346666,-2.45791998
11/15/2021,11/18/2021,11/18/2021,PS,29.632656,34.722553,17.523058,3.016962987,Good,-2.503346666,-2.457892071
12/2/2020,12/6/2020,12/6/2020,PS,29.632656,34.722553,17.523058,1.956160243,Bad,-2.503346666,-2.457898148
11/4/2020,11/7/2020,11/7/2020,PS,29.632656,34.722553,17.523058,2.201124974,Good,-2.503346666,-2.457823575
5/3/2021,5/7/2021,5/7/2021,FD,29.632656,34.722553,17.523058,4.028599647,Good,-2.503346666,-2.457721346
11/23/2020,11/29/2020,11/28/2020,FD,29.632656,34.722553,17.523058,4.463769587,Good,-2.503346666,-2.45780604
1/30/2021,2/4/2021,2/4/2021,FD,29.632656,34.722553,17.523058,2.837243084,Good,-2.503346666,-2.457891148
10/26/2021,11/1/2021,11/1/2021,PS,29.632656,34.722553,17.523058,6.105144995,Good,-2.503346666,-2.457796296
6/1/2021,6/6/2021,6/6/2021,FD,29.632656,34.722553,17.523058,2.165662746,Good,-2.503346666,-2.457846353
6/5/2021,6/11/2021,6/10/2021,FD,29.632656,34.722553,17.523058,2.830250832,Good,-2.503346666,-2.457937068
4/3/2021,4/6/2021,4/5/2021,PS,29.632656,34.722553,17.523058,3.252381633,Good,-2.503346666,-2.457828461
4/17/2021,4/20/2021,4/19/2021,PS,29.632656,34.722553,17.523058,1.427694136,Good,-2.503346666,-2.457886482
1/23/2021,1/27/2021,1/27/2021,PS,29.632656,34.722553,17.523058,1.290360147,Good,-2.503346666,-2.457860168
2/4/2021,2/12/2021,2/11/2021,FD,29.632656,34.722553,17.523058,5.04758054,Good,-2.503346666,-2.457758243
1/31/2021,2/4/2021,2/3/2021,PS,29.632656,34.722553,17.523058,2.831829633,Good,-2.503346666,-2.457725717
7/3/2021,7/9/2021,7/9/2021,FD,29.632656,34.722553,17.523058,5.030174027,Good,-2.503346666,-2.457840808
6/24/2021,6/28/2021,6/27/2021,PS,29.632656,34.722553,17.523058,2.272062228,Good,-2.503346666,-2.457774102
11/7/2020,11/10/2020,11/9/2020,PS,29.632656,34.722553,17.523058,2.829444078,Good,-2.503346666,-2.457816909
12/18/2020,12/23/2020,12/23/2020,PS,29.632656,34.722553,17.523058,3.669184914,Good,-2.503346666,-2.457812292
12/18/2020,12/23/2020,12/23/2020,PS,29.632656,34.722553,17.523058,2.896079895,Good,-2.503346666,-2.457883435
11/7/2020,11/12/2020,11/12/2020,PS,29.632656,34.722553,17.523058,0.70839988,Good,-2.503346666,-2.457812681
12/12/2021,12/17/2021,12/16/2021,FD,29.632656,34.722553,17.523058,3.839259691,Good,-2.503346666,-2.457795655
12/2/2020,12/6/2020,12/5/2020,PS,29.632656,34.722553,17.523058,2.929765022,Bad,-2.503346666,-2.457859238
12/25/2020,12/29/2020,12/28/2020,PS,29.632656,34.722553,17.523058,2.045560395,Good,-2.503346666,-2.457774306
12/22/2020,12/25/2020,12/25/2020,PS,29.632656,34.722553,17.523058,3.447676934,Good,-2.503346666,-2.457831776
12/28/2020,1/2/2021,1/1/2021,PS,29.632656,34.722553,17.523058,3.429363965,Bad,-2.503346666,-2.457759344
